Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bangladesh,CAIT,Total including LUCF,All GHG,MtCO₂e,220.75,214.18,205.26,204.52,195.62,190.85,187.33,183.76,178.5,171.06,167.36,159.06,156.42,150.91,146.24,144.67,143.03,139.71,134.54,132.37,128.46,128.66,126.39,125.86,120.8,118.35,117.14,115.24,115.06
Bangladesh,CAIT,Total excluding LUCF,All GHG,MtCO₂e,198.97,192.42,183.5,182.6,173.51,168.63,165.25,161.7,155.97,148.38,144.74,136.52,133.59,128.39,123.76,122.03,120.43,116.87,112.25,109.91,105.87,105.94,103.65,103.12,98.09,95.65,94.44,92.54,92.36
Bangladesh,CAIT,Agriculture,All GHG,MtCO₂e,88.53,86.72,83.47,85.31,84.63,83.49,83.22,83.76,82.39,81.05,80.98,76.77,76.34,74.74,72.92,73.72,73.95,72.66,72.43,71.89,68.98,69.59,69.72,69.73,67.91,66.77,66.64,66.07,65.53
Bangladesh,CAIT,Energy,All GHG,MtCO₂e,85.84,81.81,76.87,74.85,66.93,63.65,61.07,57.41,53.51,47.58,44.33,40.67,38.48,35.15,32.88,30.88,29.58,27.82,23.83,22.48,21.7,21.38,19.23,18.96,15.85,14.87,14.12,13.12,13.78
Bangladesh,CAIT,Electricity/Heat,All GHG,MtCO₂e,38.87,37.05,36.26,33.61,32.89,31.07,28.24,25.72,24.25,21.4,19.77,18.08,17.01,14.78,13.65,11.59,11.52,10.73,9.01,8.8,7.81,7.17,6.72,6.72,6.1,5.79,5.2,4.6,4.45
Bangladesh,CAIT,Land-Use Change and Forestry,All GHG,MtCO₂e,21.78,21.75,21.76,21.92,22.11,22.22,22.08,22.06,22.53,22.67,22.62,22.54,22.83,22.52,22.48,22.64,22.6,22.85,22.29,22.46,22.59,22.73,22.74,22.74,22.7,22.7,22.7,22.7,22.7
Bangladesh,CAIT,Waste,All GHG,MtCO₂e,20.64,20.38,20.11,19.84,19.58,19.31,19.05,18.78,18.51,18.26,18.01,17.76,17.51,17.26,16.72,16.19,15.65,15.11,14.99,14.85,14.71,14.57,14.43,14.29,14.19,13.87,13.55,13.23,12.91
Bangladesh,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,17.72,17.35,14.76,17.21,10.94,10.82,10.27,9.26,9.21,8.17,7.02,6.0,5.3,4.7,4.12,5.5,4.95,4.57,4.01,2.85,2.86,3.63,2.96,3.32,1.9,1.47,1.5,1.51,2.31
Bangladesh,CAIT,Transportation,All GHG,MtCO₂e,12.01,10.94,9.81,9.26,8.85,8.18,8.66,8.57,7.36,6.35,6.02,5.39,5.28,5.06,4.54,3.93,3.86,3.79,3.03,3.1,3.4,3.32,2.94,2.67,2.21,2.17,2.11,1.83,1.67
Bangladesh,CAIT,Building,All GHG,MtCO₂e,9.82,9.62,9.04,7.92,7.15,6.57,6.67,6.69,6.31,5.65,5.55,5.36,5.13,4.98,5.26,4.9,4.31,3.89,3.52,3.37,3.48,3.24,2.76,2.6,2.28,2.08,1.95,1.94,2.22
Bangladesh,CAIT,Other Fuel Combustion,All GHG,MtCO₂e,6.01,5.44,5.6,5.45,5.78,5.75,6.04,6.04,5.33,5.03,5.07,5.03,5.03,5.0,4.71,4.41,4.44,4.38,3.88,4.04,3.9,3.82,3.72,3.58,3.37,3.37,3.36,3.23,3.14
Bangladesh,CAIT,Industrial Processes,All GHG,MtCO₂e,3.97,3.51,3.05,2.59,2.36,2.17,1.91,1.75,1.55,1.49,1.42,1.32,1.26,1.24,1.23,1.25,1.26,1.27,1.01,0.69,0.48,0.4,0.28,0.15,0.14,0.14,0.13,0.12,0.13
Bangladesh,CAIT,Bunker Fuels,All GHG,MtCO₂e,1.68,1.55,1.44,1.4,1.34,1.31,1.27,1.33,1.16,1.04,1.1,0.93,0.96,0.99,0.9,0.89,0.8,0.77,0.52,0.6,0.57,0.47,0.43,0.42,0.37,0.33,0.28,0.32,0.34
Bangladesh,CAIT,Fugitive Emissions,All GHG,MtCO₂e,1.41,1.41,1.4,1.4,1.33,1.27,1.2,1.13,1.06,0.98,0.89,0.81,0.73,0.64,0.6,0.55,0.5,0.46,0.38,0.32,0.26,0.19,0.13,0.07,0.0,0.0,0.0,0.0,0.0
