Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Nepal,CAIT,Total including LUCF,All GHG,MtCO₂e,54.57,53.06,52.26,46.82,47.78,45.78,44.84,42.54,33.93,32.45,30.37,28.8,28.47,28.68,27.86,27.65,26.4,27.11,29.46,28.75,26.84,25.68,24.77,24.1,22.89,21.8,20.85,20.99,20.6
Nepal,CAIT,Total excluding LUCF,All GHG,MtCO₂e,51.24,49.58,47.07,43.67,43.86,41.84,40.94,39.02,37.22,35.88,34.02,32.72,32.27,32.22,31.42,31.09,30.44,30.84,30.33,29.53,28.02,27.05,26.03,25.08,23.84,22.96,22.01,22.15,21.76
Nepal,CAIT,Agriculture,All GHG,MtCO₂e,25.74,25.38,24.87,24.67,24.83,24.5,24.33,23.85,23.26,22.98,22.3,21.6,21.53,21.21,20.99,20.64,20.43,20.35,20.28,20.17,20.04,19.78,19.57,19.28,18.39,18.04,17.47,17.86,17.92
Nepal,CAIT,Energy,All GHG,MtCO₂e,23.61,22.33,20.35,17.25,16.88,15.25,14.65,13.45,12.54,11.56,10.74,10.16,9.8,10.09,9.54,9.57,9.15,9.66,9.23,8.57,7.2,6.53,5.7,5.06,4.73,4.23,3.88,3.68,3.26
Nepal,CAIT,Other Fuel Combustion,All GHG,MtCO₂e,13.32,12.96,12.52,11.96,11.4,10.72,10.05,9.38,8.76,8.48,8.11,7.75,7.51,7.23,7.05,6.85,6.68,6.5,6.35,5.78,5.21,4.64,4.05,3.48,3.28,3.07,2.87,2.67,2.47
Nepal,CAIT,Transportation,All GHG,MtCO₂e,5.36,4.85,3.9,2.34,2.72,2.44,2.17,1.96,1.94,1.75,1.34,0.91,0.88,0.84,0.84,0.78,0.79,0.75,0.83,0.78,0.77,0.74,0.64,0.62,0.56,0.48,0.44,0.4,0.34
Nepal,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,3.41,3.19,2.78,2.23,1.94,1.35,1.73,1.45,1.23,0.76,0.75,0.81,0.62,1.02,0.66,0.77,0.64,1.27,1.12,1.04,0.31,0.29,0.3,0.35,0.33,0.19,0.15,0.26,0.2
Nepal,CAIT,Land-Use Change and Forestry,All GHG,MtCO₂e,3.33,3.48,5.19,3.15,3.91,3.94,3.9,3.52,-3.29,-3.43,-3.65,-3.92,-3.8,-3.54,-3.57,-3.44,-4.04,-3.72,-0.87,-0.78,-1.18,-1.36,-1.26,-0.99,-0.95,-1.16,-1.16,-1.16,-1.16
Nepal,CAIT,Building,All GHG,MtCO₂e,1.52,1.32,1.15,0.71,0.82,0.73,0.69,0.66,0.61,0.56,0.53,0.68,0.78,0.99,0.97,1.15,1.04,1.12,0.91,0.92,0.81,0.77,0.67,0.58,0.5,0.43,0.38,0.32,0.25
Nepal,CAIT,Waste,All GHG,MtCO₂e,0.98,0.97,0.95,0.94,0.93,0.91,0.9,0.88,0.87,0.85,0.83,0.82,0.8,0.78,0.77,0.75,0.73,0.71,0.69,0.67,0.66,0.64,0.62,0.61,0.59,0.57,0.56,0.54,0.53
Nepal,CAIT,Industrial Processes,All GHG,MtCO₂e,0.92,0.91,0.9,0.81,1.23,1.18,1.06,0.83,0.55,0.49,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.1,0.13,0.14,0.13,0.12,0.1,0.06,0.05
Nepal,CAIT,Bunker Fuels,All GHG,MtCO₂e,0.41,0.42,0.43,0.21,0.36,0.32,0.3,0.28,0.26,0.21,0.18,0.18,0.17,0.19,0.17,0.13,0.14,0.12,0.17,0.15,0.15,0.13,0.13,0.11,0.1,0.08,0.08,0.06,0.05
Nepal,CAIT,Fugitive Emissions,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,CAIT,Electricity/Heat,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.05,0.09,0.09,0.03,0.03,0.07,0.06,0.05,0.03,0.0
