Variable: ,Annual Expected Damage from Tropical Cyclones
Variable id: ,ec3
Country: ,PAK

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,NGFS delayed 2°C warming level,NGFS delayed 2°C median,NGFS delayed 2°C 97.5th percentile,NGFS delayed 2°C 2.5th percentile,RCP26 warming level,RCP26 median,RCP26 97.5th percentile,RCP26 2.5th percentile,RCP45 warming level,RCP45 median,RCP45 97.5th percentile,RCP45 2.5th percentile,RCP60 warming level,RCP60 median,RCP60 97.5th percentile,RCP60 2.5th percentile,RCP85 warming level,RCP85 median,RCP85 97.5th percentile,RCP85 2.5th percentile
0,2015,1.0,0.0,1.026064396430562,0.0,1.0,0.0,1.026064396430562,0.0,1.0,0.0,1.026064396430562,0.0,1.0,0.0,1.026064396430562,0.0,1.0,0.0,2.2573416721472386,0.0,1.0,0.0,1.026064396430562,0.0,1.0,0.0,1.026064396430562,0.0,1.0,0.0,2.2573416721472386,0.0
1,2020,1.1,1.026064396430562,3.4078197990573442,0.0,1.1,1.026064396430562,5.161541708114583,0.0,1.1,1.026064396430562,5.161541708114583,0.0,1.1,1.026064396430562,5.161541708114583,0.0,1.1,1.026064396430562,3.4078197990573442,0.0,1.1,1.026064396430562,3.4078197990573442,0.0,1.1,1.026064396430562,3.4078197990573442,0.0,1.1,1.026064396430562,5.161541708114583,0.0
2,2025,1.3,3.4078197990573442,6.9160218131328834,1.026064396430562,1.3,3.4078197990573442,8.276261995095448,1.026064396430562,1.3,3.4078197990573442,8.276261995095448,1.026064396430562,1.3,3.4078197990573442,8.276261995095448,1.026064396430562,1.2,2.2573416721472386,6.9160218131328834,0.0,1.2,2.2573416721472386,6.9160218131328834,0.0,1.2,2.2573416721472386,5.161541708114583,0.0,1.3,3.4078197990573442,8.276261995095448,0.0
3,2030,1.4,5.161541708114583,9.933385343374962,1.026064396430562,1.4,5.161541708114583,12.156580726406437,1.026064396430562,1.4,5.161541708114583,14.310952427755389,1.026064396430562,1.4,5.161541708114583,12.156580726406437,1.026064396430562,1.3,3.4078197990573442,8.276261995095448,0.0,1.3,3.4078197990573442,8.276261995095448,0.0,1.3,3.4078197990573442,8.276261995095448,0.0,1.4,5.161541708114583,12.156580726406437,1.026064396430562
4,2035,1.5,6.9160218131328834,15.633601473735633,2.2573416721472386,1.5,6.9160218131328834,15.633601473735633,2.2573416721472386,1.5,6.9160218131328834,15.633601473735633,2.2573416721472386,1.6,8.276261995095448,17.433573336417417,2.2573416721472386,1.4,5.161541708114583,12.156580726406437,1.026064396430562,1.4,5.161541708114583,12.156580726406437,1.026064396430562,1.4,5.161541708114583,9.933385343374962,1.026064396430562,1.6,8.276261995095448,17.433573336417417,3.4078197990573442
5,2040,1.6,8.276261995095448,19.38427235848811,3.4078197990573442,1.7,9.933385343374962,19.38427235848811,3.4078197990573442,1.5,6.9160218131328834,17.433573336417417,2.2573416721472386,1.7,9.933385343374962,21.3349713805588,3.4078197990573442,1.5,6.9160218131328834,14.310952427755389,1.026064396430562,1.6,8.276261995095448,15.633601473735633,2.2573416721472386,1.5,6.9160218131328834,14.310952427755389,1.026064396430562,1.8,12.156580726406437,23.180248199000626,5.161541708114583
6,2045,1.8,12.156580726406437,23.180248199000626,5.161541708114583,1.8,12.156580726406437,23.180248199000626,5.161541708114583,1.6,8.276261995095448,19.38427235848811,2.2573416721472386,1.7,9.933385343374962,23.180248199000626,3.4078197990573442,1.5,6.9160218131328834,15.633601473735633,1.026064396430562,1.7,9.933385343374962,19.38427235848811,3.4078197990573442,1.6,8.276261995095448,17.433573336417417,2.2573416721472386,2.0,15.633601473735633,27.891948946915207,6.9160218131328834
7,2050,1.9,14.310952427755389,26.643694674679182,5.161541708114583,1.9,14.310952427755389,27.891948946915207,6.9160218131328834,1.6,8.276261995095448,19.38427235848811,2.2573416721472386,1.8,12.156580726406437,24.793557343965265,3.4078197990573442,1.5,6.9160218131328834,17.433573336417417,1.026064396430562,1.8,12.156580726406437,23.180248199000626,3.4078197990573442,1.7,9.933385343374962,19.38427235848811,3.4078197990573442,2.2,19.38427235848811,32.35933661320408,9.933385343374962
8,2055,2.0,15.633601473735633,30.43724209044686,6.9160218131328834,2.0,15.633601473735633,30.43724209044686,6.9160218131328834,1.6,8.276261995095448,21.3349713805588,1.026064396430562,1.8,12.156580726406437,24.793557343965265,3.4078197990573442,1.6,8.276261995095448,17.433573336417417,1.026064396430562,1.9,14.310952427755389,26.643694674679182,5.161541708114583,1.8,12.156580726406437,23.180248199000626,5.161541708114583,2.5,24.793557343965265,32.98009582088637,12.156580726406437
9,2060,2.1,17.433573336417417,32.35933661320408,8.276261995095448,2.2,19.38427235848811,32.35933661320408,8.276261995095448,1.5,6.9160218131328834,21.3349713805588,1.026064396430562,1.8,12.156580726406437,26.643694674679182,3.4078197990573442,1.6,8.276261995095448,19.38427235848811,1.026064396430562,2.0,15.633601473735633,29.07608987566158,6.9160218131328834,1.9,14.310952427755389,26.643694674679182,5.161541708114583,2.7,27.891948946915207,32.98009582088637,15.633601473735633
