Year,Projection,Mean,10-90th Percentile Range (low),10-90th Percentile Range (high)
1995,Historical,20.33,19.53,20.99
1996,Historical,20.42,19.65,21.06
1997,Historical,20.51,19.77,21.13
1998,Historical,20.6,19.88,21.2
1999,Historical,20.68,19.98,21.26
2000,Historical,20.75,20.06,21.32
2001,Historical,20.8,20.12,21.38
2002,Historical,20.84,20.15,21.42
2003,Historical,20.87,20.16,21.47
2004,Historical,20.89,20.15,21.51
2005,Historical,20.9,20.14,21.54
2006,Historical,20.91,20.13,21.57
2007,Historical,20.92,20.12,21.6
2008,Historical,20.93,20.14,21.62
2009,Historical,20.96,20.17,21.64
2010,Historical,20.99,20.22,21.66
2011,Historical,21.03,20.29,21.68
2012,Historical,21.07,20.36,21.7
2013,Historical,21.11,20.45,21.72
2014,Historical,21.16,20.53,21.73
2014,SSP1-1.9,21.16,20.53,21.73
2015,SSP1-1.9,21.13,20.05,21.92
2016,SSP1-1.9,21.13,20.06,21.95
2017,SSP1-1.9,21.15,20.08,21.98
2018,SSP1-1.9,21.17,20.11,22.01
2019,SSP1-1.9,21.2,20.16,22.05
2020,SSP1-1.9,21.26,20.23,22.11
2021,SSP1-1.9,21.34,20.32,22.17
2022,SSP1-1.9,21.43,20.44,22.24
2023,SSP1-1.9,21.53,20.56,22.31
2024,SSP1-1.9,21.63,20.67,22.37
2025,SSP1-1.9,21.7,20.76,22.43
2026,SSP1-1.9,21.74,20.79,22.47
2027,SSP1-1.9,21.74,20.78,22.48
2028,SSP1-1.9,21.73,20.74,22.49
2029,SSP1-1.9,21.7,20.69,22.5
2030,SSP1-1.9,21.68,20.64,22.5
2031,SSP1-1.9,21.68,20.61,22.53
2032,SSP1-1.9,21.7,20.62,22.56
2033,SSP1-1.9,21.75,20.65,22.62
2034,SSP1-1.9,21.81,20.69,22.67
2035,SSP1-1.9,21.87,20.74,22.73
2036,SSP1-1.9,21.92,20.77,22.78
2037,SSP1-1.9,21.95,20.79,22.82
2038,SSP1-1.9,21.97,20.79,22.84
2039,SSP1-1.9,21.96,20.78,22.86
2040,SSP1-1.9,21.96,20.76,22.86
2041,SSP1-1.9,21.95,20.76,22.85
2042,SSP1-1.9,21.94,20.77,22.84
2043,SSP1-1.9,21.94,20.79,22.82
2044,SSP1-1.9,21.94,20.83,22.79
2045,SSP1-1.9,21.95,20.86,22.78
2046,SSP1-1.9,21.96,20.89,22.76
2047,SSP1-1.9,21.98,20.91,22.76
2048,SSP1-1.9,21.99,20.92,22.77
2049,SSP1-1.9,22,20.91,22.78
2050,SSP1-1.9,22.01,20.89,22.8
2051,SSP1-1.9,22.02,20.86,22.82
2052,SSP1-1.9,22.02,20.84,22.83
2053,SSP1-1.9,22.02,20.81,22.83
2054,SSP1-1.9,22.02,20.8,22.82
2055,SSP1-1.9,22.01,20.78,22.81
2056,SSP1-1.9,22,20.77,22.8
2057,SSP1-1.9,22,20.77,22.8
2058,SSP1-1.9,21.99,20.76,22.81
2059,SSP1-1.9,21.99,20.76,22.83
2060,SSP1-1.9,21.98,20.76,22.85
2061,SSP1-1.9,21.98,20.75,22.89
2062,SSP1-1.9,21.98,20.73,22.92
2063,SSP1-1.9,21.97,20.69,22.96
2064,SSP1-1.9,21.95,20.63,22.99
2065,SSP1-1.9,21.94,20.56,23.01
2066,SSP1-1.9,21.92,20.49,23.02
2067,SSP1-1.9,21.91,20.43,23
2068,SSP1-1.9,21.9,20.38,22.97
2069,SSP1-1.9,21.9,20.35,22.9
2070,SSP1-1.9,21.9,20.34,22.82
2071,SSP1-1.9,21.9,20.35,22.74
2072,SSP1-1.9,21.9,20.39,22.67
2073,SSP1-1.9,21.89,20.43,22.62
2074,SSP1-1.9,21.88,20.5,22.62
2075,SSP1-1.9,21.85,20.57,22.65
2076,SSP1-1.9,21.82,20.64,22.71
2077,SSP1-1.9,21.79,20.71,22.77
2078,SSP1-1.9,21.76,20.76,22.83
2079,SSP1-1.9,21.75,20.78,22.87
2080,SSP1-1.9,21.75,20.78,22.88
2081,SSP1-1.9,21.77,20.76,22.86
2082,SSP1-1.9,21.78,20.72,22.82
2083,SSP1-1.9,21.79,20.68,22.78
2084,SSP1-1.9,21.79,20.65,22.74
2085,SSP1-1.9,21.78,20.63,22.71
2086,SSP1-1.9,21.76,20.62,22.68
2087,SSP1-1.9,21.74,20.62,22.65
2088,SSP1-1.9,21.72,20.62,22.63
