Variable: ,Maize Yield
Variable id: ,yield_maize_co2
Country: ,PAK

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,NGFS delayed 2°C warming level,NGFS delayed 2°C median,NGFS delayed 2°C 97.5th percentile,NGFS delayed 2°C 2.5th percentile,RCP26 warming level,RCP26 median,RCP26 97.5th percentile,RCP26 2.5th percentile,RCP45 warming level,RCP45 median,RCP45 97.5th percentile,RCP45 2.5th percentile,RCP60 warming level,RCP60 median,RCP60 97.5th percentile,RCP60 2.5th percentile,RCP85 warming level,RCP85 median,RCP85 97.5th percentile,RCP85 2.5th percentile
0,2015,1.0,-5.471122567580578,-1.1785030087471249,-21.145637808146635,1.0,-5.471122567580578,-1.1785030087471249,-21.145637808146635,1.0,-5.471122567580578,-1.1785030087471249,-21.145637808146635,1.0,-5.471122567580578,-1.1785030087471249,-21.145637808146635,1.0,-5.471122567580578,-0.6351340692443243,-21.74698819186473,1.0,-5.471122567580578,-1.1785030087471249,-21.145637808146635,1.0,-5.471122567580578,-1.1785030087471249,-21.145637808146635,1.0,-5.471122567580578,-0.6351340692443243,-21.74698819186473
1,2020,1.1,-5.543970143681121,-0.012151825468486699,-22.268725271309794,1.1,-5.543970143681121,0.4203043313054658,-22.98098843775674,1.1,-5.543970143681121,0.4203043313054658,-22.98098843775674,1.1,-5.543970143681121,0.4203043313054658,-22.98098843775674,1.1,-5.543970143681121,-0.012151825468486699,-22.268725271309794,1.1,-5.543970143681121,-0.012151825468486699,-22.268725271309794,1.1,-5.543970143681121,-0.012151825468486699,-22.268725271309794,1.1,-5.543970143681121,0.4203043313054658,-22.98098843775674
2,2025,1.3,-6.460875361912841,0.9713439338403388,-23.574668158442762,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078,1.2,-6.0422294049335,0.9713439338403388,-23.574668158442762,1.2,-6.0422294049335,0.9713439338403388,-23.574668158442762,1.2,-6.0422294049335,0.4203043313054658,-22.98098843775674,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078
3,2030,1.4,-7.0700474058940666,2.1505933063590947,-24.684857432365806,1.4,-7.0700474058940666,2.144056403312462,-25.836113658633337,1.4,-7.0700474058940666,1.8576932820988912,-27.267196103067807,1.4,-7.0700474058940666,2.144056403312462,-25.836113658633337,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078,1.3,-6.460875361912841,1.830016633353224,-23.86071478215078,1.4,-7.0700474058940666,2.144056403312462,-25.836113658633337
4,2035,1.5,-7.560636004114374,1.4855027817772921,-28.784105926610305,1.5,-7.560636004114374,1.4855027817772921,-28.784105926610305,1.5,-7.560636004114374,1.4855027817772921,-28.784105926610305,1.6,-7.743591505356669,1.830016633353224,-30.32625076651983,1.4,-7.0700474058940666,2.144056403312462,-25.836113658633337,1.4,-7.0700474058940666,2.144056403312462,-25.836113658633337,1.4,-7.0700474058940666,2.1505933063590947,-24.684857432365806,1.6,-7.743591505356669,1.830016633353224,-30.32625076651983
5,2040,1.6,-7.743591505356669,1.830016633353224,-31.80237034614433,1.7,-8.464643033105977,2.1505933063590947,-31.80237034614433,1.5,-7.560636004114374,1.0880772650886652,-30.32625076651983,1.7,-8.464643033105977,2.1505933063590947,-32.83313824421129,1.5,-7.560636004114374,1.8576932820988912,-27.267196103067807,1.6,-7.743591505356669,1.830016633353224,-28.784105926610305,1.5,-7.560636004114374,1.8576932820988912,-27.267196103067807,1.8,-9.512808136907788,2.144056403312462,-32.80178113750235
6,2045,1.8,-9.512808136907788,2.144056403312462,-32.80178113750235,1.8,-9.512808136907788,2.144056403312462,-32.80178113750235,1.6,-7.743591505356669,1.830016633353224,-31.80237034614433,1.7,-8.464643033105977,2.1505933063590947,-32.80178113750235,1.5,-7.560636004114374,1.4855027817772921,-28.784105926610305,1.7,-8.464643033105977,2.1505933063590947,-31.80237034614433,1.6,-7.743591505356669,1.830016633353224,-30.32625076651983,2.0,-12.254618159953317,4.862433515121302,-33.42021045581257
7,2050,1.9,-10.840799458876539,4.3443569513099565,-32.793567696403024,1.9,-10.840799458876539,4.862433515121302,-33.42021045581257,1.6,-7.743591505356669,1.830016633353224,-31.80237034614433,1.8,-9.512808136907788,3.2238454363198965,-32.76935988817218,1.5,-7.560636004114374,1.0880772650886652,-30.32625076651983,1.8,-9.512808136907788,2.144056403312462,-32.80178113750235,1.7,-8.464643033105977,2.1505933063590947,-31.80237034614433,2.2,-15.06670033455591,6.086035965126239,-36.77548529869124
8,2055,2.0,-12.254618159953317,5.189053012692391,-35.38302960468328,2.0,-12.254618159953317,5.189053012692391,-35.38302960468328,1.6,-7.743591505356669,1.830016633353224,-32.83313824421129,1.8,-9.512808136907788,3.2238454363198965,-32.76935988817218,1.6,-7.743591505356669,1.830016633353224,-30.32625076651983,1.9,-10.840799458876539,4.3443569513099565,-32.793567696403024,1.8,-9.512808136907788,2.144056403312462,-32.80178113750235,2.5,-15.724416509186609,8.604912854278812,-37.69076637920136
9,2060,2.1,-13.693671877397124,6.086035965126239,-36.77548529869124,2.2,-15.06670033455591,6.086035965126239,-36.77548529869124,1.5,-7.560636004114374,0.9713439338403388,-32.83313824421129,1.8,-9.512808136907788,4.3443569513099565,-32.793567696403024,1.6,-7.743591505356669,1.830016633353224,-31.80237034614433,2.0,-12.254618159953317,5.051743354318934,-34.375619939835836,1.9,-10.840799458876539,4.3443569513099565,-32.793567696403024,2.7,-16.16908483189556,18.55343372886465,-33.42021045581257
