Variable: ,Rice Yield
Variable id: ,yield_rice_co2
Country: ,PAK

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,NGFS delayed 2°C warming level,NGFS delayed 2°C median,NGFS delayed 2°C 97.5th percentile,NGFS delayed 2°C 2.5th percentile,RCP26 warming level,RCP26 median,RCP26 97.5th percentile,RCP26 2.5th percentile,RCP45 warming level,RCP45 median,RCP45 97.5th percentile,RCP45 2.5th percentile,RCP60 warming level,RCP60 median,RCP60 97.5th percentile,RCP60 2.5th percentile,RCP85 warming level,RCP85 median,RCP85 97.5th percentile,RCP85 2.5th percentile
0,2015,1.0,-5.214499123440094,3.1062736168630813,-26.42319659584415,1.0,-5.214499123440094,3.1062736168630813,-26.42319659584415,1.0,-5.214499123440094,3.1062736168630813,-26.42319659584415,1.0,-5.214499123440094,3.1062736168630813,-26.42319659584415,1.0,-5.214499123440094,5.766096573271511,-27.25103500291814,1.0,-5.214499123440094,3.1062736168630813,-26.42319659584415,1.0,-5.214499123440094,3.1062736168630813,-26.42319659584415,1.0,-5.214499123440094,5.766096573271511,-27.25103500291814
1,2020,1.1,-5.160944437685106,8.470602216012692,-28.034190723659375,1.1,-5.160944437685106,10.943110417327949,-29.049343885826527,1.1,-5.160944437685106,10.943110417327949,-29.049343885826527,1.1,-5.160944437685106,10.943110417327949,-29.049343885826527,1.1,-5.160944437685106,8.470602216012692,-28.034190723659375,1.1,-5.160944437685106,8.470602216012692,-28.034190723659375,1.1,-5.160944437685106,8.470602216012692,-28.034190723659375,1.1,-5.160944437685106,10.943110417327949,-29.049343885826527
2,2025,1.3,-3.9926123518506587,12.802726565181208,-30.677389101455685,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537,1.2,-4.599119737934257,12.802726565181208,-30.677389101455685,1.2,-4.599119737934257,12.802726565181208,-30.677389101455685,1.2,-4.599119737934257,10.943110417327949,-29.049343885826527,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537
3,2030,1.4,-3.618102407192982,17.761891608294892,-32.69354678530683,1.4,-3.618102407192982,20.005666679942834,-33.9374330771413,1.4,-3.618102407192982,21.700502643961983,-35.73025847660457,1.4,-3.618102407192982,20.005666679942834,-33.9374330771413,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537,1.3,-3.9926123518506587,15.065195335450767,-31.902581694668537,1.4,-3.618102407192982,20.005666679942834,-33.9374330771413
4,2035,1.5,-3.8564845159973054,22.367988717182925,-38.550433766866036,1.5,-3.8564845159973054,22.367988717182925,-38.550433766866036,1.5,-3.8564845159973054,22.367988717182925,-38.550433766866036,1.6,-3.6920140023853256,23.13949531285311,-41.26658853467827,1.4,-3.618102407192982,20.005666679942834,-33.9374330771413,1.4,-3.618102407192982,20.005666679942834,-33.9374330771413,1.4,-3.618102407192982,17.761891608294892,-32.69354678530683,1.6,-3.6920140023853256,23.13949531285311,-41.26658853467827
5,2040,1.6,-3.6920140023853256,24.00731502814814,-43.886430182865645,1.7,-3.093315986198783,24.00731502814814,-43.886430182865645,1.5,-3.8564845159973054,23.13949531285311,-41.26658853467827,1.7,-3.093315986198783,25.21213229394087,-46.16927428055533,1.5,-3.8564845159973054,21.700502643961983,-35.73025847660457,1.6,-3.6920140023853256,22.367988717182925,-38.550433766866036,1.5,-3.8564845159973054,21.700502643961983,-35.73025847660457,1.8,-2.947539171208421,30.05380013105677,-44.81526780692184
6,2045,1.8,-2.947539171208421,30.05380013105677,-44.81526780692184,1.8,-2.947539171208421,30.05380013105677,-44.81526780692184,1.6,-3.6920140023853256,24.00731502814814,-43.886430182865645,1.7,-3.093315986198783,30.05380013105677,-44.81526780692184,1.5,-3.8564845159973054,22.367988717182925,-38.550433766866036,1.7,-3.093315986198783,24.00731502814814,-43.886430182865645,1.6,-3.6920140023853256,23.13949531285311,-41.26658853467827,2.0,-4.781213647283494,41.467106598628334,-43.86494542979753
7,2050,1.9,-3.3507014638468546,39.78557844107647,-42.05881222386697,1.9,-3.3507014638468546,41.467106598628334,-43.86494542979753,1.6,-3.6920140023853256,24.00731502814814,-43.886430182865645,1.8,-2.947539171208421,34.77517780305029,-43.58155149841074,1.5,-3.8564845159973054,23.13949531285311,-41.26658853467827,1.8,-2.947539171208421,30.05380013105677,-44.81526780692184,1.7,-3.093315986198783,24.00731502814814,-43.886430182865645,2.2,-7.337883849633442,30.679475833493317,-68.60322164886219
8,2055,2.0,-4.781213647283494,40.10152263638212,-52.20585211900856,2.0,-4.781213647283494,40.10152263638212,-52.20585211900856,1.6,-3.6920140023853256,25.21213229394087,-46.16927428055533,1.8,-2.947539171208421,34.77517780305029,-43.58155149841074,1.6,-3.6920140023853256,23.13949531285311,-41.26658853467827,1.9,-3.3507014638468546,39.78557844107647,-42.05881222386697,1.8,-2.947539171208421,30.05380013105677,-44.81526780692184,2.5,-2.864015844704035,34.77517780305029,-76.04342325005543
9,2060,2.1,-6.107705308270893,30.679475833493317,-68.60322164886219,2.2,-7.337883849633442,30.679475833493317,-68.60322164886219,1.5,-3.8564845159973054,25.21213229394087,-46.16927428055533,1.8,-2.947539171208421,39.78557844107647,-42.05881222386697,1.6,-3.6920140023853256,24.00731502814814,-43.886430182865645,2.0,-4.781213647283494,43.56510485528591,-45.25460853662236,1.9,-3.3507014638468546,39.78557844107647,-42.05881222386697,2.7,-0.3680835624411573,41.467106598628334,-79.27921584894389
10,2065,2.2,-7.337883849633442,31.891736025747615,-74.36628418357272,2.3,-8.231064840498291,31.891736025747615,-74.36628418357272,1.5,-3.8564845159973054,25.21213229394087,-46.16927428055533,1.7,-3.093315986198783,39.78557844107647,-42.05881222386697,1.6,-3.6920140023853256,24.00731502814814,-43.886430182865645,2.1,-6.107705308270893,40.10152263638212,-52.20585211900856,2.1,-6.107705308270893,40.10152263638212,-52.20585211900856,3.0,-12.414065387789927,37.441788450823694,-79.27921584894389
11,2070,2.3,-8.231064840498291,33.70225832274731,-76.04342325005543,2.4,-5.487395260039974,35.196993948464865,-78.03634898782029,1.5,-3.8564845159973054,24.00731502814814,-43.886430182865645,1.7,-3.093315986198783,39.78557844107647,-42.05881222386697,1.6,-3.6920140023853256,24.00731502814814,-43.886430182865645,2.2,-7.337883849633442,35.71511954325231,-60.07991657562079,2.2,-7.337883849633442,30.679475833493317,-68.60322164886219,3.2,-21.018631733612725,37.441788450823694,-79.27921584894389
