Variable: ,Soy Yield
Variable id: ,yield_soy_co2
Country: ,PAK

,year,CAT current policies warming level,CAT current policies median,CAT current policies 97.5th percentile,CAT current policies 2.5th percentile,NGFS current policies warming level,NGFS current policies median,NGFS current policies 97.5th percentile,NGFS current policies 2.5th percentile,NGFS net-zero 2050 warming level,NGFS net-zero 2050 median,NGFS net-zero 2050 97.5th percentile,NGFS net-zero 2050 2.5th percentile,NGFS delayed 2°C warming level,NGFS delayed 2°C median,NGFS delayed 2°C 97.5th percentile,NGFS delayed 2°C 2.5th percentile,RCP26 warming level,RCP26 median,RCP26 97.5th percentile,RCP26 2.5th percentile,RCP45 warming level,RCP45 median,RCP45 97.5th percentile,RCP45 2.5th percentile,RCP60 warming level,RCP60 median,RCP60 97.5th percentile,RCP60 2.5th percentile,RCP85 warming level,RCP85 median,RCP85 97.5th percentile,RCP85 2.5th percentile
0,2015,1.0,1.8138837011994116,10.547547729900542,-4.953819040089353,1.0,1.8138837011994116,10.547547729900542,-4.953819040089353,1.0,1.8138837011994116,10.547547729900542,-4.953819040089353,1.0,1.8138837011994116,10.547547729900542,-4.953819040089353,1.0,1.8138837011994116,12.073275964195119,-6.40790365110168,1.0,1.8138837011994116,10.547547729900542,-4.953819040089353,1.0,1.8138837011994116,10.547547729900542,-4.953819040089353,1.0,1.8138837011994116,12.073275964195119,-6.40790365110168
1,2020,1.1,1.9924618689785476,13.373034851486045,-8.087957609117657,1.1,1.9924618689785476,14.4131606089039,-10.027644697006709,1.1,1.9924618689785476,14.4131606089039,-10.027644697006709,1.1,1.9924618689785476,14.4131606089039,-10.027644697006709,1.1,1.9924618689785476,13.373034851486045,-8.087957609117657,1.1,1.9924618689785476,13.373034851486045,-8.087957609117657,1.1,1.9924618689785476,13.373034851486045,-8.087957609117657,1.1,1.9924618689785476,14.4131606089039,-10.027644697006709
2,2025,1.3,1.9332334767129253,15.702993461442992,-11.717624689774519,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572,1.2,2.0758323463475623,15.702993461442992,-11.717624689774519,1.2,2.0758323463475623,15.702993461442992,-11.717624689774519,1.2,2.0758323463475623,14.4131606089039,-10.027644697006709,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572
3,2030,1.4,1.5310014772052156,18.7710800367295,-14.60916380510182,1.4,1.5310014772052156,21.071833546966058,-15.288223140172164,1.4,1.5310014772052156,23.86563158529532,-15.47423794714981,1.4,1.5310014772052156,21.071833546966058,-15.288223140172164,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572,1.3,1.9332334767129253,16.72844161588184,-13.671989380642572,1.4,1.5310014772052156,21.071833546966058,-15.288223140172164
4,2035,1.5,1.3784765728187456,25.857737210458968,-16.461945167293063,1.5,1.3784765728187456,25.857737210458968,-16.461945167293063,1.5,1.3784765728187456,25.857737210458968,-16.461945167293063,1.6,0.961566970332035,27.93938585804358,-17.360109365015358,1.4,1.5310014772052156,21.071833546966058,-15.288223140172164,1.4,1.5310014772052156,21.071833546966058,-15.288223140172164,1.4,1.5310014772052156,18.7710800367295,-14.60916380510182,1.6,0.961566970332035,27.93938585804358,-17.360109365015358
5,2040,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,1.7,1.5618476342541279,29.991394715163167,-18.287913353202672,1.5,1.3784765728187456,27.93938585804358,-17.360109365015358,1.7,1.5618476342541279,31.870660419403304,-19.388460494269438,1.5,1.3784765728187456,23.86563158529532,-15.47423794714981,1.6,0.961566970332035,25.857737210458968,-16.461945167293063,1.5,1.3784765728187456,23.86563158529532,-15.47423794714981,1.8,2.4202433875651237,33.519535883109064,-20.71939787587058
6,2045,1.8,2.4202433875651237,33.519535883109064,-20.71939787587058,1.8,2.4202433875651237,33.519535883109064,-20.71939787587058,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,1.7,1.5618476342541279,33.519535883109064,-20.71939787587058,1.5,1.3784765728187456,25.857737210458968,-16.461945167293063,1.7,1.5618476342541279,29.991394715163167,-18.287913353202672,1.6,0.961566970332035,27.93938585804358,-17.360109365015358,2.0,4.32143153720691,39.31508065987337,-23.863291635026997
7,2050,1.9,3.7716836689688193,37.367099381350016,-22.83146006824344,1.9,3.7716836689688193,39.31508065987337,-23.863291635026997,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,1.8,2.4202433875651237,35.41009425346422,-21.808652350822328,1.5,1.3784765728187456,27.93938585804358,-17.360109365015358,1.8,2.4202433875651237,33.519535883109064,-20.71939787587058,1.7,1.5618476342541279,29.991394715163167,-18.287913353202672,2.2,5.5703735280599815,37.723993400802435,-37.373630275325546
8,2055,2.0,4.32143153720691,40.04828923780627,-29.08970874770789,2.0,4.32143153720691,40.04828923780627,-29.08970874770789,1.6,0.961566970332035,31.870660419403304,-19.388460494269438,1.8,2.4202433875651237,35.41009425346422,-21.808652350822328,1.6,0.961566970332035,27.93938585804358,-17.360109365015358,1.9,3.7716836689688193,37.367099381350016,-22.83146006824344,1.8,2.4202433875651237,33.519535883109064,-20.71939787587058,2.5,6.661999795584349,41.88109087210961,-42.15597133993907
9,2060,2.1,4.960722427865956,37.723993400802435,-37.373630275325546,2.2,5.5703735280599815,37.723993400802435,-37.373630275325546,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.8,2.4202433875651237,37.367099381350016,-22.83146006824344,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,2.0,4.32143153720691,41.03835761300214,-25.119827527205118,1.9,3.7716836689688193,37.367099381350016,-22.83146006824344,2.7,7.682270688142368,43.52237798234613,-46.47430992031637
10,2065,2.2,5.5703735280599815,40.72508015507075,-40.33216921167102,2.3,6.007281475374556,40.72508015507075,-40.33216921167102,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.7,1.5618476342541279,37.367099381350016,-22.83146006824344,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,2.1,4.960722427865956,40.04828923780627,-29.08970874770789,2.1,4.960722427865956,40.04828923780627,-29.08970874770789,3.0,2.9682663427865794,43.52237798234613,-46.47430992031637
11,2070,2.3,6.007281475374556,41.88109087210961,-42.15597133993907,2.4,6.213799182154754,42.77734122427862,-44.23953383307696,1.5,1.3784765728187456,29.991394715163167,-18.287913353202672,1.7,1.5618476342541279,37.367099381350016,-22.83146006824344,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,2.2,5.5703735280599815,38.92814958529426,-33.18966124552681,2.2,5.5703735280599815,37.723993400802435,-37.373630275325546,3.2,0.4538440852359689,43.52237798234613,-46.47430992031637
12,2075,2.4,6.213799182154754,43.13701313829475,-45.36976834171429,2.5,6.661999795584349,43.52237798234613,-46.47430992031637,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.7,1.5618476342541279,37.367099381350016,-22.83146006824344,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,2.2,5.5703735280599815,39.298442841594785,-38.7789936798401,2.4,6.213799182154754,41.88109087210961,-42.15597133993907,3.5,-0.394330802856872,43.52237798234613,-46.47430992031637
13,2080,2.5,6.661999795584349,43.52237798234613,-46.47430992031637,2.6,7.176647166544581,43.52237798234613,-46.47430992031637,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.7,1.5618476342541279,35.41009425346422,-21.808652350822328,1.6,0.961566970332035,29.991394715163167,-18.287913353202672,2.3,6.007281475374556,40.72508015507075,-40.33216921167102,2.6,7.176647166544581,43.13701313829475,-45.36976834171429,3.7,-1.091651801714935,43.52237798234613,-46.47430992031637
14,2085,2.6,7.176647166544581,43.52237798234613,-46.47430992031637,2.8,7.963189884345586,43.52237798234613,-46.47430992031637,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.6,0.961566970332035,35.41009425346422,-21.808652350822328,1.6,0.961566970332035,31.870660419403304,-19.388460494269438,2.3,6.007281475374556,41.88109087210961,-42.15597133993907,2.7,7.682270688142368,43.52237798234613,-46.47430992031637,4.0,,43.52237798234613,-46.47430992031637
15,2090,2.7,7.682270688142368,43.52237798234613,-46.47430992031637,2.9,5.5307637522241535,43.52237798234613,-46.47430992031637,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.6,0.961566970332035,35.41009425346422,-21.808652350822328,1.6,0.961566970332035,31.870660419403304,-19.388460494269438,2.4,6.213799182154754,42.77734122427862,-44.23953383307696,2.9,5.5307637522241535,43.52237798234613,-46.47430992031637,4.3,,43.52237798234613,-46.47430992031637
16,2095,2.8,7.963189884345586,43.52237798234613,-46.47430992031637,3.1,0.3217524013691877,43.52237798234613,-46.47430992031637,1.5,1.3784765728187456,31.870660419403304,-19.388460494269438,1.6,0.961566970332035,35.41009425346422,-21.808652350822328,1.6,0.961566970332035,31.870660419403304,-19.388460494269438,2.4,6.213799182154754,43.13701313829475,-45.36976834171429,3.0,2.9682663427865794,43.52237798234613,-46.47430992031637,4.5,,43.52237798234613,-46.47430992031637
